S/N,cDen,Pot,Sn %,pH,weight,Cu %,FORM
1,0.3333333333333333,0.7446808510638298,1.0,1.0,1.0,0.0,0.61
2,0.3333333333333333,0.702127659574468,0.8,1.0,0.9070609047258024,0.1999999999999999,0.66
3,0.3333333333333333,0.6808510638297872,0.5,1.0,0.767652261814506,0.5,0.52
4,0.3333333333333333,0.6595744680851063,0.1,1.0,0.5817740712661107,0.9,0.42
5,0.3333333333333333,0.6382978723404255,0.05,1.0,0.5585392974475613,0.95,0.19
6,0.3333333333333333,0.6382978723404255,0.03,1.0,0.5492453879201415,0.97,0.14
7,0.3333333333333333,0.5957446808510638,0.0,1.0,0.5353045236290119,1.0,0.11
8,0.5555555555555556,0.851063829787234,1.0,1.0,1.0,0.0,0.63
9,0.5555555555555556,0.8085106382978723,0.8,1.0,0.9070609047258024,0.1999999999999999,0.7
10,0.5555555555555556,0.7872340425531915,0.5,1.0,0.767652261814506,0.5,0.48
11,0.5555555555555556,0.7659574468085106,0.1,1.0,0.5817740712661107,0.9,0.42
12,0.5555555555555556,0.7659574468085106,0.05,1.0,0.5585392974475613,0.95,0.23
13,0.5555555555555556,0.7446808510638298,0.03,1.0,0.5492453879201415,0.97,0.09
14,0.5555555555555556,0.6808510638297872,0.0,1.0,0.5353045236290119,1.0,0.09
15,0.7777777777777778,0.9148936170212765,1.0,1.0,1.0,0.0,0.63
16,0.7777777777777778,0.8936170212765957,0.8,1.0,0.9070609047258024,0.1999999999999999,0.7
17,0.7777777777777778,0.8723404255319148,0.5,1.0,0.767652261814506,0.5,0.48
18,0.7777777777777778,0.8723404255319148,0.1,1.0,0.5817740712661107,0.9,0.42
19,0.7777777777777778,0.851063829787234,0.05,1.0,0.5585392974475613,0.95,0.23
20,0.7777777777777778,0.851063829787234,0.03,1.0,0.5492453879201415,0.97,0.09
21,0.7777777777777778,0.7659574468085106,0.0,1.0,0.5353045236290119,1.0,0.09
22,1.0,1.0,1.0,1.0,1.0,0.0,0.33
23,1.0,0.978723404255319,0.8,1.0,0.9070609047258024,0.1999999999999999,0.5
24,1.0,0.978723404255319,0.5,1.0,0.767652261814506,0.5,0.39
25,1.0,0.9574468085106382,0.1,1.0,0.5817740712661107,0.9,0.37
26,1.0,0.9574468085106382,0.05,1.0,0.5585392974475613,0.95,0.14
27,1.0,0.9361702127659575,0.03,1.0,0.5492453879201415,0.97,0.09
28,1.0,0.8936170212765957,0.0,1.0,0.5353045236290119,1.0,0.08
29,0.31333333333333335,0.851063829787234,1.0,0.5708185053380782,1.0,0.0,0.59
30,0.31777777777777777,0.851063829787234,0.8,0.5708185053380782,0.9070609047258024,0.1999999999999999,0.62
31,0.31777777777777777,0.851063829787234,0.5,0.5708185053380782,0.767652261814506,0.5,0.56
32,0.32222222222222224,0.851063829787234,0.1,0.5708185053380782,0.5817740712661107,0.9,0.38
33,0.33111111111111113,0.851063829787234,0.05,0.5708185053380782,0.5585392974475613,0.95,0.19
34,0.3333333333333333,0.851063829787234,0.03,0.5708185053380782,0.5492453879201415,0.97,0.14
35,0.3333333333333333,0.851063829787234,0.0,0.5708185053380782,0.5353045236290119,1.0,0.07
